127.0.0.1 - - [16/Mar/2023:21:52:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [16/Mar/2023:21:52:10 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [16/Mar/2023:21:52:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Mar/2023:21:52:38 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:05:12 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 500 2195
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:06:40 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:07:25 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:12:05 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 500 2713
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:12:37 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:14:39 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:19:20 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:19:51 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:22:04 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:22:31 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:25:36 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:26:14 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:26:56 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:30:43 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:30:44 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:30:45 +0530] "GET /NGO_Application/index.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:30:46 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [16/Mar/2023:22:30:49 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 197
