127.0.0.1 - - [14/Apr/2023:13:53:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:53:41 +0530] "GET /NGO_Application/ HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:53:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:55:57 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:55:57 +0530] "GET /NGO_Application/navbar.html HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:55:58 +0530] "GET /NGO_Application/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:56:00 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:56:00 +0530] "GET /NGO_Application/Birthday.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:45 +0530] "GET /NGO_Application/DiamondJubilee.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:47 +0530] "GET /NGO_Application/Home.jsp HTTP/1.1" 200 2040
0:0:0:0:0:0:0:1 - - [14/Apr/2023:13:58:51 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:11:49 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 500 7013
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:11:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:13:30 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 4064
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:13:30 +0530] "GET /NGO_Application/footer.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:13:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:48 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:48 +0530] "GET /NGO_Application/footer.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:53 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:53 +0530] "GET /NGO_Application/footer.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:53 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:53 +0530] "GET /NGO_Application/footer.html HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:53 +0530] "GET /NGO_Application/Data.jsp HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [14/Apr/2023:14:14:53 +0530] "GET /NGO_Application/footer.html HTTP/1.1" 404 783
